12
0,0,0,0,0,0,0,0,0,32767,32767,32767
32767,0,0,0,0,0,0,0,0,0,32767,32767
32767,32767,0,0,0,0,0,0,0,0,0,32767
32767,32767,32767,4,5,6,7,8,9,10,11,12
32767,32767,32767,0,0,0,0,0,0,32767,32767,32767
32767,32767,32767,32767,0,0,0,0,0,0,32767,32767
32767,32767,32767,32767,32767,0,0,0,0,0,0,32767
32767,32767,32767,32767,32767,32767,14,16,18,20,22,24
32767,32767,32767,32767,32767,32767,0,0,0,32767,32767,32767
32767,32767,32767,32767,32767,32767,32767,0,0,0,32767,32767
32767,32767,32767,32767,32767,32767,32767,32767,0,0,0,32767
32767,32767,32767,32767,32767,32767,32767,32767,32767,30,33,36

